Postal Code,Age,Gender,Latitude,Longitude,Culture Centre,C_Postal_Code,C_Latitude,C_Longitude,Distance (kms)
V4T 2X8,25 to 34,Female,49.849752,-119.606393,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,14.287
V4T 2X8,25 to 34,Female,49.849752,-119.606393,Kelowna Actors Studio,V1Y 1Z9,49.889195,-119.493507,14.51
V1Y 4W4,35 to 44,Female,49.855437,-119.487344,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,4.74
V1Y 4W4,35 to 44,Female,49.855437,-119.487344,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,4.601
V1Y 4W4,35 to 44,Female,49.855437,-119.487344,Alternator Centre for Contemporary Art,V1Y 6Z1,49.891742,-119.493626,4.74
V1Y 4W4,35 to 44,Female,49.855437,-119.487344,Prospera Place,V1Y 9V1,49.892657,-119.496618,5.224
V1Y 4W4,35 to 44,Female,49.855437,-119.487344,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,4.663
V1W 3X4,35 to 44,Female,49.857715,-119.481057,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,4.575
V1W 1W5,25 to 34,Female,49.82547,-119.488732,Waterfront Park,V1Y 9R7,49.897295,-119.499295,8.757
V1W 1W5,25 to 34,Female,49.82547,-119.488732,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,7.334
V1V 2R8,45 to 54,Female,49.934674,-119.442054,Okanagan Regional Library,V1Y 2A2,49.889007,-119.493507,8.455
V1Y 3P1,45 to 54,Female,49.893635,-119.468297,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,2.428
V1Y 3P1,45 to 54,Female,49.893635,-119.468297,Okanagan Heritage Museum,V1Y 6S7,49.88733,-119.494003,2.677
V1V 2M5,35 to 44,Female,49.91351823,-119.4451143,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,6.651
V1V 2L8,35 to 44,Female,49.918441,-119.441899,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,6.551
V1V 2L8,35 to 44,Female,49.918441,-119.441899,Okanagan Heritage Museum,V1Y 6S7,49.88733,-119.494003,6.816
V1V 2L8,35 to 44,Female,49.918441,-119.441899,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,6.706
V1V 1X8,35 to 44,Female,49.929064,-119.440755,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,7.962
V1V 1X8,35 to 44,Female,49.929064,-119.440755,Kelowna Actors Studio,V1Y 1Z9,49.889195,-119.493507,7.796
V1V 1X8,35 to 44,Female,49.929064,-119.440755,The Canadian School of Ballet,V1X 6Y5,49.8849,-119.431907,6.694
V1V 1X8,35 to 44,Female,49.929064,-119.440755,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,7.522
V1V 1X8,35 to 44,Female,49.929064,-119.440755,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,7.806
V1V 1X8,35 to 44,Female,49.929064,-119.440755,Okanagan Heritage Museum,V1Y 6S7,49.88733,-119.494003,8.071
V1V 3E6,25 to 34,Female,49.917387,-119.439124,,,,,
V1V 1Z5,Undisclosed,Undisclosed,49.909714,-119.451346,Parks Alive!,V1Y 1K2,49.88294,-119.496597,6.063
V1V 1Z5,Undisclosed,Undisclosed,49.909714,-119.451346,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,5.292
V1X 8C9,55 to 64,Female,49.881574,-119.434179,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,6.434
V1W 4K6,65 and up,Male,49.795766,-119.519441,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,12.237
V1W 4K6,65 and up,Male,49.795766,-119.519441,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,12.473
V1V 3C6,45 to 54,Undisclosed,49.928189,-119.453564,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,7.861
V1V 3C6,45 to 54,Undisclosed,49.928189,-119.453564,Kelowna Actors Studio,V1Y 1Z9,49.889195,-119.493507,7.621
V1V 3C6,45 to 54,Undisclosed,49.928189,-119.453564,The Laurel Packinghouse,V1Y 1Z9,49.889195,-119.493507,7.621
V1V 2L8,25 to 34,Undisclosed,49.918441,-119.441899,French Cultural Centre,V1Y 6P5,49.8863165,-119.4858025,6.129
V1Y 9P2,65 and up,Female,49.875423,-119.482517,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,2.297
V1Y 9P2,65 and up,Female,49.875423,-119.482517,Alternator Centre for Contemporary Art,V1Y 6Z1,49.891742,-119.493626,2.586
V1Y 9P2,65 and up,Female,49.875423,-119.482517,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,2.458
